جملة_موارد_ميزاني_ة_المجلس_البلدي,جملة_موارد_ميزاني_ة_المجلس_البلدي_1,جملة_موارد_ميزاني_ة_المجلس_البلدي_2,جملة_موارد_ميزاني_ة_المجلس_البلدي_3,جملة_موارد_ميزاني_ة_المجلس_البلدي_4,جملة_موارد_ميزاني_ة_المجلس_البلدي_5,جملة_موارد_ميزاني_ة_المجلس_البلدي_6,جملة_موارد_ميزاني_ة_المجلس_البلدي_7,جملة_موارد_ميزاني_ة_المجلس_البلدي_8,جملة_موارد_ميزاني_ة_المجلس_البلدي_9,جملة_موارد_ميزاني_ة_المجلس_البلدي_10,جملة_موارد_ميزاني_ة_المجلس_البلدي_11,جملة_موارد_ميزاني_ة_المجلس_البلدي_12,جملة_موارد_ميزاني_ة_المجلس_البلدي_13,جملة_موارد_ميزاني_ة_المجلس_البلدي_14,جملة_موارد_ميزاني_ة_المجلس_البلدي_15,جملة_موارد_ميزاني_ة_المجلس_البلدي_16,جملة_موارد_ميزاني_ة_المجلس_البلدي_17,جملة_موارد_ميزاني_ة_المجلس_البلدي_18,جملة_موارد_ميزاني_ة_المجلس_البلدي_19,جملة_موارد_ميزاني_ة_المجلس_البلدي_20,جملة_موارد_ميزاني_ة_المجلس_البلدي_21,جملة_موارد_ميزاني_ة_المجلس_البلدي_22,جملة_موارد_ميزاني_ة_المجلس_البلدي_23,جملة_موارد_ميزاني_ة_المجلس_البلدي_24,جملة_موارد_ميزاني_ة_المجلس_البلدي_25,جملة_موارد_ميزاني_ة_المجلس_البلدي_26,جملة_موارد_ميزاني_ة_المجلس_البلدي_27,جملة_موارد_ميزاني_ة_المجلس_البلدي_28,جملة_موارد_ميزاني_ة_المجلس_البلدي_29,جملة_موارد_ميزاني_ة_المجلس_البلدي_30,جملة_موارد_ميزاني_ة_المجلس_البلدي_31,sheet_source,processed_date,fiscal_year
161.480.804 ,24.113.180 ,5.495.131 ,4.887.626 ,27.140.095 ,9.636.504 ,14.224.527 ,9.323.079 ,164.370.004 ,26.266.670 ,6.672.535 ,5.369.392 ,28.249.880 ,10.265.150 ,16.120.201 ,10.800.088 ,78.300.277 ,18.807.042 ,2.926.932 ,2.682.350 ,18.295.150 ,6.121.013 ,9.078.891 ,7.280.703 ,0.4764,0.716,0.4387,0.4996,0.6476,0.5963,0.5632,0.6741,Feuil2,2025-10-14,2025
164.370.004 ,26.266.670 ,6.672.535 ,5.369.392 ,28.249.880 ,10.265.150 ,16.120.201 ,10.800.088 ,بلدية تونس,بلدية حلق الوادي,بلدية قرطاج,بلدية سيدي بوسعيد,بلدية المرسى,بلدية باردو,بلدية الكرم,بلدية سيدي حسين,بلدية تونس,بلدية حلق الوادي,بلدية قرطاج,بلدية سيدي بوسعيد,بلدية المرسى,بلدية باردو,بلدية الكرم,بلدية سيدي حسين,بلدية تونس,بلدية حلق الوادي,بلدية قرطاج,بلدية سيدي بوسعيد,بلدية المرسى,بلدية باردو,بلدية الكرم,بلدية سيدي حسين,Feuil2,2025-10-14,2025
78.300.277 ,18.807.042 ,2.926.932 ,2.682.350 ,18.295.150 ,6.121.013 ,9.078.891 ,7.280.703 ,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Feuil2,2025-10-14,2025
0.4764,0.716,0.4387,0.4996,0.6476,0.5963,0.5632,0.6741,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Feuil2,2025-10-14,2025
بلدية تونس,بلدية حلق الوادي,بلدية قرطاج,بلدية سيدي بوسعيد,بلدية المرسى,بلدية باردو,بلدية الكرم,بلدية سيدي حسين,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Feuil2,2025-10-14,2025
