بلدية,Municipalite,Code_Geo,2017___Ressources_budgétaires_totales_du_conseil_municipal_X_Estimations_préliminaires,2017___Ressources_budgétaires_totales_du_conseil_municipal_X_Prévisions_actuelles,2017___Ressources_budgétaires_totales_du_conseil_municipal_X_ressources_réalisées,2017___Ressources_budgétaires_totales_du_conseil_municipal_X___de_réalisation,2017___Dépenses_totales_du_consel_municipal_x_Estimations_péliminaires,2017___Dépenses_totales_du_consel_municipal_x_Estimations_actuelles,2017___Dépenses_totales_du_conseil_municipal_X_dépenses_réalisées,2017___Dépenses_totales_du_conseil_municipal_X___de_réalisation,2017___Recettes___Dépenses,2017_____des_Dépenses_par_rapport_a_la_ressource,sheet_source,processed_date,fiscal_year,جملة_موارد_ميزاني_ة_المجلس_البلدي,جملة_موارد_ميزاني_ة_المجلس_البلدي_1,جملة_موارد_ميزاني_ة_المجلس_البلدي_2,جملة_موارد_ميزاني_ة_المجلس_البلدي_3,جملة_موارد_ميزاني_ة_المجلس_البلدي_4,جملة_موارد_ميزاني_ة_المجلس_البلدي_5,جملة_موارد_ميزاني_ة_المجلس_البلدي_6,جملة_موارد_ميزاني_ة_المجلس_البلدي_7,جملة_موارد_ميزاني_ة_المجلس_البلدي_8,جملة_موارد_ميزاني_ة_المجلس_البلدي_9,جملة_موارد_ميزاني_ة_المجلس_البلدي_10,جملة_موارد_ميزاني_ة_المجلس_البلدي_11,جملة_موارد_ميزاني_ة_المجلس_البلدي_12,جملة_موارد_ميزاني_ة_المجلس_البلدي_13,جملة_موارد_ميزاني_ة_المجلس_البلدي_14,جملة_موارد_ميزاني_ة_المجلس_البلدي_15,جملة_موارد_ميزاني_ة_المجلس_البلدي_16,جملة_موارد_ميزاني_ة_المجلس_البلدي_17,جملة_موارد_ميزاني_ة_المجلس_البلدي_18,جملة_موارد_ميزاني_ة_المجلس_البلدي_19,جملة_موارد_ميزاني_ة_المجلس_البلدي_20,جملة_موارد_ميزاني_ة_المجلس_البلدي_21,جملة_موارد_ميزاني_ة_المجلس_البلدي_22,جملة_موارد_ميزاني_ة_المجلس_البلدي_23,جملة_موارد_ميزاني_ة_المجلس_البلدي_24,جملة_موارد_ميزاني_ة_المجلس_البلدي_25,جملة_موارد_ميزاني_ة_المجلس_البلدي_26,جملة_موارد_ميزاني_ة_المجلس_البلدي_27,جملة_موارد_ميزاني_ة_المجلس_البلدي_28,جملة_موارد_ميزاني_ة_المجلس_البلدي_29,جملة_موارد_ميزاني_ة_المجلس_البلدي_30,جملة_موارد_ميزاني_ة_المجلس_البلدي_31,0_4764
بلدية حمام الأغزاز,Municipalite de Hammam Guezaz,1523.0,1400481.0,1629126.0,1227002.0,75.32%,1326931.0,1552741.0,273707.0,17.63%,953295.0,0.2230697260477163,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية دار علوش,Municipalite de Dar Allouch,1524.0,869000.0,997403.0,570255.0,57.17%,869000.0,997403.0,255446.0,25.61%,314809.0,0.4479504782947979,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية الهوارية,Municipalite de Haouaria,1525.0,1781800.0,3045013.0,1879888.0,61.74%,1781800.0,3045013.0,355945.0,11.69%,1523943.0,0.1893437268603235,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية تاكلسة,Municipalite de Takelsa,1526.0,1648000.0,3375104.0,2646866.0,78.42%,1648000.0,3375104.0,645712.0,19.13%,2001154.0,0.2439534150954374,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية سليمان,Municipalite de Soliman,1527.0,16261378.0,17337516.0,10101148.0,58.26%,16011378.0,17337516.0,3012972.0,17.38%,7088176.0,0.2982801558793119,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية قربص,Municipalite de Korbous,1528.0,820900.0,864532.0,318777.0,36.87%,690340.0,733972.0,170697.0,23.26%,148080.0,0.5354746421479593,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية منزل بوزلفة,Municipalite de Meznel Bouzelfa,1529.0,4991000.0,5549031.0,3132520.0,56.45%,4946000.0,5549031.0,1085491.0,19.56%,2047029.0,0.3465232464597193,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية بني خلاد,Municipalite de Beni Khaled,1530.0,2864266.0,3175631.0,1662578.0,52.35%,2864266.0,3175631.0,722193.0,22.74%,940385.0,0.4343814245106094,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية زاوية الجديدي,Municipalite de Zaouiet Jdidi,1531.0,1273500.0,1263938.0,656598.0,51.95%,1253500.0,1263938.0,241082.0,19.07%,415516.0,0.367168343491756,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية قرنبالية,Municipalite de Grombalia,1532.0,9049000.0,9785812.0,6464955.0,66.06%,9049000.0,9785812.0,1293816.0,13.22%,5171139.0,0.200127611097061,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية بوعرقوب,Municipalite de Bouargoub,1533.0,5098000.0,5345110.0,3520794.0,65.87%,4998000.0,5345110.0,1567745.0,29.33%,1953049.0,0.4452816608980815,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية الحمامات,Municipalite de Hammamet,1534.0,22317858.0,23209998.0,12102134.0,52.14%,21082000.0,21974140.0,3500111.0,15.93%,8602023.0,0.2892143650037257,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
