بلدية,Municipalite,Code_Geo,2017___Ressources_budgétaires_totales_du_conseil_municipal_X_Estimations_préliminaires,2017___Ressources_budgétaires_totales_du_conseil_municipal_X_Prévisions_actuelles,2017___Ressources_budgétaires_totales_du_conseil_municipal_X_ressources_réalisées,2017___Ressources_budgétaires_totales_du_conseil_municipal_X___de_réalisation,2017___Dépenses_totales_du_consel_municipal_x_Estimations_péliminaires,2017___Dépenses_totales_du_consel_municipal_x_Estimations_actuelles,2017___Dépenses_totales_du_conseil_municipal_X_dépenses_réalisées,2017___Dépenses_totales_du_conseil_municipal_X___de_réalisation,2017___Recettes___Dépenses,2017_____des_Dépenses_par_rapport_a_la_ressource,sheet_source,processed_date,fiscal_year,جملة_موارد_ميزاني_ة_المجلس_البلدي,جملة_موارد_ميزاني_ة_المجلس_البلدي_1,جملة_موارد_ميزاني_ة_المجلس_البلدي_2,جملة_موارد_ميزاني_ة_المجلس_البلدي_3,جملة_موارد_ميزاني_ة_المجلس_البلدي_4,جملة_موارد_ميزاني_ة_المجلس_البلدي_5,جملة_موارد_ميزاني_ة_المجلس_البلدي_6,جملة_موارد_ميزاني_ة_المجلس_البلدي_7,جملة_موارد_ميزاني_ة_المجلس_البلدي_8,جملة_موارد_ميزاني_ة_المجلس_البلدي_9,جملة_موارد_ميزاني_ة_المجلس_البلدي_10,جملة_موارد_ميزاني_ة_المجلس_البلدي_11,جملة_موارد_ميزاني_ة_المجلس_البلدي_12,جملة_موارد_ميزاني_ة_المجلس_البلدي_13,جملة_موارد_ميزاني_ة_المجلس_البلدي_14,جملة_موارد_ميزاني_ة_المجلس_البلدي_15,جملة_موارد_ميزاني_ة_المجلس_البلدي_16,جملة_موارد_ميزاني_ة_المجلس_البلدي_17,جملة_موارد_ميزاني_ة_المجلس_البلدي_18,جملة_موارد_ميزاني_ة_المجلس_البلدي_19,جملة_موارد_ميزاني_ة_المجلس_البلدي_20,جملة_موارد_ميزاني_ة_المجلس_البلدي_21,جملة_موارد_ميزاني_ة_المجلس_البلدي_22,جملة_موارد_ميزاني_ة_المجلس_البلدي_23,جملة_موارد_ميزاني_ة_المجلس_البلدي_24,جملة_موارد_ميزاني_ة_المجلس_البلدي_25,جملة_موارد_ميزاني_ة_المجلس_البلدي_26,جملة_موارد_ميزاني_ة_المجلس_البلدي_27,جملة_موارد_ميزاني_ة_المجلس_البلدي_28,جملة_موارد_ميزاني_ة_المجلس_البلدي_29,جملة_موارد_ميزاني_ة_المجلس_البلدي_30,جملة_موارد_ميزاني_ة_المجلس_البلدي_31,0_4764
بلدية تستور,Municipalite de Testour,2116.0,1525275.0,1505859.0,417344.0,27.71%,1519094.0,1505859.0,316623.0,21.03%,100721.0,0.7586619191841742,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية قبلاط,Municipalite de Gbollat,2117.0,1743447.0,1753456.0,547346.0,31.22%,1706772.0,1717488.0,290911.0,16.94%,256435.0,0.5314937900340918,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية مجاز الباب,Municipalite de Medjez El Beb,2118.0,5987033.0,5976941.0,2451222.0,41.01%,5984670.0,5976941.0,888892.0,14.87%,1562330.0,0.3626321891693204,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية جندوبة,Municipalite de Jendouba,2211.0,11259660.0,11399132.0,7475992.0,65.58%,11259660.0,11399132.0,2162987.0,18.98%,5313005.0,0.2893244134022615,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية بوسالم,Municipalite de Boussalem,2212.0,3337532.0,3763649.0,2131428.0,56.63%,3337532.0,3763649.0,1007455.0,26.77%,1123973.0,0.4726666816800755,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية طبرقة,Municipalite de Tabarka,2213.0,3089590.0,3214286.0,1599388.0,49.76%,3089590.0,3214286.0,692157.0,21.53%,907231.0,0.4327636570988403,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
عين دراهم,Municipalite de Ain Drahem,2214.0,1931224.0,2017452.0,898444.0,44.53%,1931224.0,2017452.0,416259.0,20.63%,482185.0,0.4633110132629301,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية فرنانة,Municipalite de Feriana,2215.0,1659027.0,1990344.0,1296312.0,65.13%,1626145.0,1988437.0,310609.0,15.62%,985703.0,0.2396097544418319,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية بني مطير,Municipalite de Beni Mtir,2216.0,547503.0,551288.0,318520.0,57.78%,547323.0,551288.0,96679.0,17.54%,221841.0,0.303525681275901,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية غار الدماء,Municipalite de Ghar Dimaou,2217.0,2536569.0,2980643.0,1701437.0,57.08%,2527193.0,2980643.0,336523.0,11.29%,1364914.0,0.1977875172574711,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية وادي مليز,Municipalite de Oued Mliz,2218.0,1479459.0,1503937.0,1053598.0,70.06%,1434372.0,1503937.0,201984.0,13.43%,851614.0,0.1917087921579198,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية الكاف,Municipalite du Kef,2311.0,8329209.0,8706106.0,5057268.0,58.09%,8329209.0,8706106.0,2262002.0,25.98%,2795266.0,0.4472774628514842,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية نبر,Municipalite de Nebr,2312.0,744593.0,794415.0,237389.0,29.88%,700454.0,794415.0,137440.0,17.3%,99949.0,0.5789653269528074,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية الطويرف,Municipalite de Touiref,2313.0,313000.0,664209.0,438211.0,65.97%,313000.0,664209.0,78389.0,11.8%,359822.0,0.1788841448525938,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية ساقية سيدي يوسف,Municipalite de Sakiet Eddaier,2314.0,1008771.0,1151460.0,568308.0,49.36%,1008771.0,1151460.0,281255.0,24.43%,287053.0,0.494898892853875,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية تاجروين,Municipalite de Tajerouin,2315.0,3660500.0,3730874.0,2256415.0,60.48%,3659500.0,3730874.0,605895.0,16.24%,1650520.0,0.2685210832227228,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية منزل سالم,Municipalite de Menzel Salem,2316.0,612239.0,642239.0,440050.0,68.52%,612239.0,642239.0,132128.0,20.57%,307922.0,0.3002567890012498,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية قلعة سنان,Municipalite de Kalaat Snan,2317.0,1115000.0,1967695.0,1115638.0,56.7%,1115000.0,1967695.0,224915.0,11.43%,890723.0,0.2016021325913961,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية القلعة الخصباء,Municipalite de Kalaat Khasba,2318.0,572000.0,1214715.0,670796.0,55.22%,572000.0,1214715.0,294401.0,24.24%,376395.0,0.4388830583366627,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية الجريصة,Municipalite de Jerissa,2319.0,1040530.0,1600681.0,833569.0,52.08%,1040530.0,1600681.0,449017.0,28.05%,384552.0,0.5386680646713109,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية القصور,Municipalite de Ksrour,2320.0,2106000.0,2298637.0,479921.0,20.88%,2105836.0,2298472.0,349256.0,15.2%,130665.0,0.7277364399557427,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية الدهماني,Municipalite de Dahmani,2321.0,2420307.0,2519580.0,576125.0,22.87%,2420307.0,2519580.0,287498.0,11.41%,288627.0,0.4990201779127793,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية السرس,Municipalite de Sers,2322.0,1520000.0,2094427.0,1271863.0,60.73%,1519000.0,2094427.0,621432.0,29.67%,650431.0,0.4885997941602201,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية سليانة,Municipalite de Siliana,2411.0,6676178.0,9858446.0,6910387.0,70.1%,6676178.0,9858446.0,1781880.0,18.07%,5128507.0,0.2578553125895843,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية بوعرادة,Municipalite de Bouarada,2412.0,1897752.0,2186165.0,1195327.0,54.68%,1897752.0,2186165.0,302282.0,13.83%,893045.0,0.2528864486454334,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية قعفور,Municipalite de Gaafour,2413.0,2191734.0,2698020.0,794515.0,29.45%,2191734.0,2698020.0,492136.0,18.24%,302379.0,0.6194168769626753,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية الكريب,Municipalite du Krib,2414.0,2430502.0,2755813.0,1170556.0,42.48%,2430502.0,2755813.0,666557.0,24.19%,503999.0,0.5694362337214111,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية سيدي بورويس,Municipalite Sidi Bourouis,2415.0,857000.0,863190.0,195513.0,22.65%,857000.0,863190.0,141320.0,16.37%,54193.0,0.722816385611187,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية مكثر,Municipalite de Makthar,2416.0,1821000.0,2507682.0,1178529.0,0.47,1433188.0,2507682.0,487127.0,19.43%,691402.0,0.413334758839197,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية الروحية,Municipalite Errouhia,2417.0,2619900.0,2988473.0,738479.0,24.71%,2619900.0,2988473.0,480957.0,16.09%,257522.0,0.6512805374289588,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية كسرى,Municipalite de Kesra,2418.0,916300.0,1714540.0,962418.0,56.13%,916300.0,1714540.0,147894.0,8.63%,814524.0,0.1536691957132971,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية برقو,Municipalite de Bargou,2419.0,1129000.0,1381674.0,451321.0,32.66%,1129000.0,1381674.0,206622.0,14.95%,244699.0,0.4578160555347524,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية العروسة,Municipalite Elaroussa,2420.0,1050000.0,1657492.0,926812.0,55.92%,1050000.0,1657492.0,614410.0,37.07%,312402.0,0.6629284040344752,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية سوسة,Municipalite de Sousse,3111.0,42649000.0,43476688.0,24898724.0,57.27%,42649000.0,43476688.0,5310164.0,12.21%,19588560.0,0.2132705274374703,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية قصيبة والثريات,Municipalite de Ksiba et Thrayet,3112.0,1474000.0,1810559.0,880175.0,48.61%,1474000.0,1810559.0,335384.0,18.52%,544791.0,0.3810424063396483,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية الزهور,Municipalite Ezzouhour,3113.0,1340000.0,1522586.0,762794.0,50.1%,1340000.0,1522586.0,293321.0,19.26%,469473.0,0.384535012074033,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية زاوية سوسة,Municipalite Zaouiet Sousse,3114.0,2618000.0,2817130.0,1874279.0,66.53%,2618000.0,2817130.0,362342.0,12.86%,1511937.0,0.1933234059603719,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية حمام سوسة,Municipalite de Hamam Sousse,3115.0,14728000.0,15492926.0,8779011.0,56.66%,14728000.0,15492926.0,3522608.0,22.74%,5256403.0,0.4012533985889754,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية أكودة,Municipalite Akouda,3116.0,3948663.0,5446387.0,2854832.0,52.42%,3948663.0,5446387.0,824470.0,15.14%,2030362.0,0.2887980798870126,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية القلعة الكبرى,Municipalite de Kalaa Kbira,3117.0,5920969.0,5934161.0,3900014.0,65.72%,5920969.0,5934161.0,903657.0,15.23%,2996357.0,0.231706091311467,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية سيدي بو علي,Municipalite de Sidi Bou Ali,3118.0,2000000.0,2250766.0,1294933.0,57.53%,1990000.0,2240766.0,237997.0,10.62%,1056936.0,0.1837909760582207,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية هرقلة,Municipalite de Hergla,3119.0,1500000.0,1940905.0,1323644.0,68.2%,1499000.0,1940905.0,272204.0,14.02%,1051440.0,0.2056474399460882,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية النفيضة,Municipalite Ennfidha,3120.0,4290000.0,4791189.0,2193344.0,45.78%,4289225.0,4790414.0,762713.0,15.92%,1430631.0,0.3477397982259053,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية بوفيشة,Municipalite Bouficha,3121.0,3250900.0,3591469.0,1412380.0,39.33%,3214450.0,3591469.0,754424.0,21.01%,657956.0,0.5341508659142724,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية سيدي الهاني,Municipalite Sidi Heni,3122.0,1418000.0,1645636.0,941752.0,57.23%,1418000.0,1645636.0,183833.0,11.17%,757919.0,0.1952031957458014,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية مساكن,Municipalite de Msaken,3123.0,11755234.0,12229066.0,5926893.0,48.47%,11185234.0,11659066.0,2476350.0,21.24%,3450543.0,0.4178158775601314,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية القلعة الصغرى,Municipalite de Kalaa Sghira,3124.0,3524271.0,4579413.0,3082838.0,67.32%,3524271.0,4579413.0,838033.0,18.3%,2244805.0,0.2718381569190466,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية المسعدين,Municipalite Messaadine,3125.0,2810000.0,3797251.0,2774142.0,73.06%,2810000.0,3797251.0,547551.0,14.42%,2226591.0,0.1973767024182612,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية كندار,Municipalite Kondar,3126.0,1675000.0,1675000.0,237173.0,14.16%,1675000.0,1675000.0,159583.0,9.53%,77590.0,0.6728548359214582,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية المنستير,Municipalite de Monsatir,3211.0,21405507.0,21886988.0,12733659.0,58.18%,21309427.0,21772187.0,3388217.0,15.56%,9345442.0,0.2660835349839351,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية خنيس,Municipalite de Khenis,3212.0,1270500.0,1654873.0,870990.0,52.63%,1267500.0,1654873.0,385231.0,23.28%,485759.0,0.4422909562681546,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية الوردانين,Municipalite de Ouardanin,3213.0,1703800.0,2345487.0,1457194.0,62.13%,1698800.0,2345487.0,413265.0,17.62%,1043929.0,0.2836032813750263,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية الساحلين ومعتمر,Municipalite de Sahline et Moatamar,3214.0,2400000.0,4630347.0,3847888.0,83.1%,2400000.0,4630347.0,1202311.0,25.97%,2645577.0,0.312459978045099,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية سيدي عامر مسجد عيسى,Municipalite de Sidi Amer Masjed Issa,3215.0,810000.0,1321390.0,891254.0,67.45%,790914.0,1302304.0,227016.0,17.43%,664238.0,0.2547152663550458,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية زرمدين,Municipalite de Zeramdin,3216.0,2263500.0,2470949.0,994371.0,40.24%,2255500.0,2470949.0,598945.0,24.24%,395426.0,0.6023355467928972,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية بني حسان,Municipalite de Beni Hassan,3217.0,968650.0,1506015.0,973878.0,64.67%,968650.0,1506015.0,293227.0,19.47%,680651.0,0.3010921285828409,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية غنادة,Municipalité Ghenada,3218.0,573000.0,1161386.0,894282.0,77.00%,573000.0,1161386.0,162645.0,14.00%,731637.0,0.1818721611303816,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية جمال,Municipalite de Jammal,3219.0,5050000.0,6706381.0,3901296.0,58.17%,5050000.0,6706381.0,913316.0,13.62%,2987980.0,0.2341057945872346,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية منزل كامل,Municipalité Menzel Kamel,3220.0,891000.0,1408575.0,824816.0,58.56%,854250.0,1408575.0,164490.0,11.68%,660326.0,0.1994262962891117,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 بلدية زاوية قنطش,Municipalite de Zaouiet Kontech,3221.0,755000.0,1225179.0,714257.0,58.3%,755000.0,1225179.0,191876.0,15.66%,522381.0,0.2686371992154084,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية بنبلة المنارة,Municipalite de Bembla Menara,3222.0,1344500.0,2082317.0,1286284.0,61.77%,1344500.0,2082317.0,238798.0,11.47%,1047486.0,0.185649514415168,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية منزل النور,Municipalité Menzel Nour,3223.0,1074100.0,1465177.0,726002.0,49.55%,1073100.0,1465177.0,380678.0,25.98%,345324.0,0.5243484177729538,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية المصدور منزل حرب,Municipalité Masdour Menzel Harb,3224.0,789000.0,1720968.0,1294329.0,75.21%,786500.0,1600688.0,293065.0,18.31%,1001264.0,0.2264223392970411,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية المكنين,Municipalite de Moknine,3225.0,14892982.0,14774448.0,5689966.0,38.51%,14811982.0,14774448.0,2102543.0,14.23%,3587423.0,0.3695176737435689,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 بلدية سيدي بنور,Municipalité Sidi Bennour,3226.0,472500.0,739788.0,422234.0,57.08%,472500.0,739788.0,59481.0,8.04%,362753.0,0.1408721230407783,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 بلدية منزل فارسي,Municipalite Menzel Fersi,3227.0,759000.0,1022651.0,463772.0,45.35%,759000.0,1022651.0,109231.0,10.68%,354541.0,0.2355273712082661,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية عميرة الفحول,Municipalité Amiret El Fhoul,3228.0,397000.0,638954.0,251982.0,39.44%,397000.0,638954.0,82959.0,12.98%,169023.0,0.3292258970878872,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 بلدية عميرة التوازرة,Municipalité Amiret Touazra,3229.0,439800.0,702055.0,422459.0,60.17%,439800.0,702055.0,92603.0,13.19%,329856.0,0.2191999697012017,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية عميرة الحجاج,Municipalité Amiret Hojjaj,3230.0,489000.0,868872.0,568554.0,65.44%,489000.0,868872.0,101158.0,11.64%,467396.0,0.1779215342781864,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 بلدية شراحيل,Municipalite Chrahil,3231.0,568000.0,724331.0,334549.0,46.19%,472250.0,632331.0,130117.0,20.58%,204432.0,0.3889325629429471,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية البقالطة,Municipalite de Bekalta,3232.0,2233000.0,2510408.0,1211445.0,48.26%,1933000.0,2510408.0,585241.0,23.31%,626204.0,0.4830933306918597,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية طبلبة,Municipalite de Teboulba,3233.0,10656100.0,10668807.0,4988564.0,46.76%,10578497.0,10591204.0,1155789.0,10.91%,3832775.0,0.2316877161443654,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية قصر هلال,Municipalite de Ksar Hlel,3234.0,6239302.0,10870939.0,7034089.0,64.71%,5039302.0,9670939.0,1630677.0,16.86%,5403412.0,0.2318249029831723,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية قصيبة المديوني,Municipalite de Ksibet El Mediouni,3235.0,1440000.0,1945194.0,1071720.0,55.1%,1440000.0,1945194.0,401540.0,20.64%,670180.0,0.3746687567648266,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية بنان بوضر,Municipalite de Bannen Boudher,3236.0,1130200.0,1489170.0,962637.0,64.64%,1129600.0,1489170.0,250653.0,16.83%,711984.0,0.260381639184864,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية طوزة,Municipalite de Touza,3237.0,724244.0,1031610.0,600784.0,58.24%,724244.0,1031610.0,158468.0,15.36%,442316.0,0.2637686755972196,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية صيادة,Municipalite de Sayada,3238.0,1475000.0,2396697.0,1187181.0,49.53%,1475000.0,2396697.0,557755.0,23.27%,629426.0,0.4698146280979901,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية لمطة,Municipalite de Lamta,3239.0,790000.0,904127.0,289730.0,32.05%,790000.0,904127.0,185936.0,20.57%,103794.0,0.6417561177648156,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية بوحجر,Municipalite de Bouhjar,3240.0,1125235.0,1917868.0,1228718.0,64.07%,1125235.0,1917868.0,385250.0,20.09%,843468.0,0.3135381755618457,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية منزل الحياة,Municipalité Menzel Hayet,3241.0,963000.0,1695232.0,1160125.0,68.43%,869000.0,1612232.0,240602.0,14.92%,919523.0,0.2073931688395647,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية المهدية,Municipalite de Mahdia,3311.0,11719546.0,12607168.0,6369650.0,50.52%,11719546.0,12607168.0,3273618.0,25.97%,3096032.0,0.5139400124025653,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية رجيش,Municipalite de Rejich,3312.0,1742455.0,2003641.0,1127875.0,56.29%,1742455.0,2003641.0,414438.0,20.68%,713437.0,0.3674502936938933,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية بومرداس,Municipalite de Bou Merdes,3313.0,1724000.0,1753711.0,795040.0,45.33%,1720000.0,1753711.0,198084.0,11.3%,596956.0,0.2491497283155564,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية أولاد شامخ,Municipalite Ouled Chamekh,3314.0,1556392.0,1556467.0,294938.0,18.95%,1356492.0,1356567.0,149018.0,10.98%,145920.0,0.5052519512575524,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية شربان,Municipalite de Chorben,3315.0,2368839.0,2453933.0,760337.0,30.98%,2368839.0,2453933.0,204508.0,8.33%,555829.0,0.2689702066320592,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية هبيرة,Municipalite de Hebira,3316.0,1282500.0,1276442.0,575893.0,45.12%,1221500.0,1270942.0,279461.0,21.99%,296432.0,0.4852654920271648,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية السواسي,Municipalite Essouassi,3317.0,2283569.0,2361528.0,833624.0,35.3%,2283569.0,2361528.0,452880.0,19.18%,380744.0,0.5432665086417857,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية الجم,Municipalite de Jem,3318.0,4284000.0,4315614.0,1842837.0,42.7%,4284000.0,4315614.0,989828.0,22.94%,853009.0,0.5371218398588697,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية كركر,Municipalite de Kerker,3319.0,1392433.0,1414075.0,676574.0,47.85%,1392433.0,1414075.0,146815.0,10.38%,529759.0,0.2169976972215899,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية الشابة,Municipalite de Chebba,3320.0,3741000.0,3749350.0,1290304.0,34.41%,3741000.0,3749350.0,778738.0,20.77%,511566.0,0.6035306408412281,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية ملولش,Municipalite de Meloulech,3321.0,1240100.0,1280698.0,298171.0,23.28%,1089439.0,1130037.0,114969.0,10.17%,183202.0,0.3855807573506478,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية سيدي علوان,Municipalite de Sidi Alouen,3322.0,1728350.0,2056543.0,995816.0,48.42%,1308350.0,1636543.0,568165.0,34.72%,427651.0,0.570552190364485,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية قصور الساف,Municipalite de Ksour Essef,3323.0,3594572.0,3620697.0,1130373.0,31.22%,3589072.0,3620697.0,617546.0,17.06%,512827.0,0.5463205508270279,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
